,end_diastole_frame,end_systole_frame
0,5,6
1,14,15
2,22,23
3,30,31
4,39,40
5,48,49
6,57,58
7,67,68
8,76,77
9,86,87
10,95,96
11,105,106
12,114,115
13,122,123
14,133,134
15,141,142
16,151,152
17,160,161
18,171,172
19,181,182
20,189,190
21,196,197
22,204,205
23,211,212
24,221,222
25,254,255
26,261,262
27,267,268
28,273,274
29,280,281
30,286,287
31,293,294
32,299,300
