,end_diastole_frame,end_systole_frame
0,9,10
1,17,18
2,26,27
3,35,36
4,44,45
5,53,54
6,61,62
7,69,70
8,79,80
9,88,89
10,95,96
11,104,105
12,113,114
13,121,122
14,130,131
15,138,139
16,147,148
17,155,156
18,163,164
19,171,172
20,179,180
21,188,189
22,197,198
23,209,210
24,220,221
25,231,232
26,240,241
27,249,250
28,259,260
29,269,270
30,278,279
31,288,289
32,297,298
