,end_diastole_frame,end_systole_frame
0,6,7
1,12,13
2,20,21
3,28,29
4,35,36
5,42,43
6,50,51
7,57,58
8,64,65
9,72,73
10,79,80
11,87,88
12,94,95
13,102,103
14,109,110
15,117,118
16,125,126
17,133,134
18,140,141
19,148,149
20,156,157
21,164,165
22,172,173
23,180,181
24,188,189
25,196,197
26,204,205
27,211,212
28,245,246
29,254,255
30,262,263
31,271,272
32,278,279
33,286,287
34,294,295
