,end_diastole_frame,end_systole_frame
0,7,8
1,13,14
2,18,19
3,24,25
4,29,30
5,45,46
6,52,53
7,59,60
8,64,65
9,70,71
10,76,77
11,83,84
12,89,90
13,95,96
14,102,103
15,109,110
16,117,118
17,124,125
18,131,132
19,138,139
20,145,146
21,152,153
22,160,161
23,167,168
24,175,176
25,181,182
26,188,189
27,196,197
28,204,205
29,210,211
30,217,218
31,224,225
32,231,232
33,238,239
34,245,246
35,252,253
36,261,262
37,269,270
38,276,277
39,284,285
40,291,292
41,298,299
