,mpv
0,0.007281777777777776
1,0.007376000000000001
2,0.006151111111111107
3,0.003973333333333329
4,0.0016888888888888856
5,0.006206222222222217
6,0.008865777777777778
7,0.006970666666666667
8,0.005781333333333333
9,0.005955555555555554
10,0.0010879999999999987
11,0.002423111111111112
12,0.006307555555555552
13,0.008081777777777778
14,0.006563555555555552
15,0.006088888888888887
16,0.005267555555555553
17,0.00014755555555555355
18,0.004298666666666666
19,0.008755555555555551
20,0.007591111111111111
21,0.00664
22,0.006412444444444443
23,0.0029031111111111063
24,0.0013386666666666616
25,0.005548444444444446
26,0.008554666666666662
27,0.007496888888888886
28,0.006767999999999996
29,0.006488888888888884
30,0.0007217777777777795
31,0.003880888888888885
32,0.007918222222222222
33,0.007978666666666662
34,0.006935111111111107
35,0.00669511111111111
36,0.004471111111111106
37,0.000924444444444443
38,0.00496711111111111
39,0.00840888888888889
40,0.007502222222222223
41,0.006789333333333335
42,0.006764444444444441
43,0.0008053333333333315
44,0.003109333333333332
45,0.006984888888888888
46,0.008014222222222221
47,0.007071999999999995
48,0.006769777777777777
49,0.001511111111111109
50,0.0032960000000000003
51,0.007361777777777773
52,0.007607111111111106
53,0.006336000000000001
54,0.005971555555555556
55,0.006069333333333329
56,0.001971555555555553
57,0.0019306666666666639
58,0.005256888888888887
59,0.007559111111111107
60,0.006303999999999997
61,0.005818666666666666
62,0.004504888888888885
63,0.0009368888888888899
64,0.004682666666666668
65,0.008535111111111111
66,0.0072195555555555554
67,0.006536888888888884
68,0.0063662222222222176
69,0.004047999999999996
70,0.0009475555555555557
71,0.00491911111111111
72,0.008453333333333334
73,0.007557333333333333
74,0.007011555555555556
75,0.00680533333333333
76,0.0008373333333333288
77,0.0034968888888888897
78,0.007320888888888891
79,0.007848888888888884
80,0.007073777777777776
81,0.006762666666666667
82,0.0040693333333333345
83,0.0014755555555555563
84,0.005269333333333334
85,0.00852088888888889
86,0.007406222222222224
87,0.006881777777777778
88,0.0044337777777777795
89,0.001637333333333331
90,0.0056373333333333345
91,0.009029333333333334
92,0.007637333333333329
93,0.007251555555555553
94,0.006200888888888888
95,0.001064888888888886
96,0.0050346666666666665
97,0.008828444444444444
98,0.008764444444444443
99,0.008071111111111112
100,0.007857777777777776
101,0.0022879999999999984
102,0.0031751111111111077
103,0.006679111111111108
104,0.009301333333333335
105,0.00879644444444444
106,0.00821333333333333
107,0.002060444444444441
108,0.003736888888888887
109,0.008305777777777773
110,0.009391999999999998
111,0.008593777777777777
112,0.008003555555555555
113,0.004865777777777774
114,0.0018115555555555524
115,0.005760000000000001
116,0.009557333333333334
117,0.008579555555555556
118,0.007523555555555554
119,0.0034115555555555566
120,0.002561777777777774
121,0.00685511111111111
122,0.009418666666666665
123,0.007916444444444441
124,0.006974222222222222
125,0.0064782222222222186
126,0.0011679999999999954
127,0.003429333333333333
128,0.006615111111111106
129,0.00649244444444444
130,0.005781333333333333
131,0.005644444444444445
132,0.0015075555555555537
133,0.0029635555555555526
134,0.006355555555555552
135,0.005704888888888884
136,0.005372444444444444
137,0.005171555555555554
138,0.004430222222222217
139,0.001582222222222221
140,0.0047128888888888845
141,0.006247111111111106
142,0.005319111111111108
143,0.005447111111111111
144,0.00550044444444444
145,0.0014862222222222221
146,0.0034506666666666644
147,0.0060711111111111105
148,0.006190222222222222
149,0.00575111111111111
150,0.005420444444444443
151,0.0029902222222222205
152,0.0017066666666666619
153,0.005434666666666664
154,0.007621333333333334
155,0.0062666666666666634
156,0.005724444444444442
157,0.005845333333333334
158,0.005642666666666664
159,0.0012515555555555544
160,0.002846222222222222
161,0.005727999999999997
162,0.0073173333333333285
163,0.006263111111111108
164,0.0058613333333333295
165,0.0021955555555555548
166,0.0014915555555555515
167,0.005711999999999995
168,0.008378666666666666
169,0.006878222222222223
170,0.006364444444444443
171,0.0062399999999999956
172,0.0023004444444444452
173,0.0011573333333333297
174,0.00485688888888889
175,0.007715555555555552
176,0.00691022222222222
177,0.006723555555555552
178,0.00564088888888889
179,0.00020622222222221875
180,0.003848888888888888
181,0.007943111111111109
182,0.007189333333333332
183,0.006378666666666664
184,0.006325333333333329
185,0.006264888888888889
186,0.0009902222222222187
187,0.0025831111111111124
188,0.005617777777777777
189,0.00720888888888889
190,0.006606222222222222
191,0.006328888888888884
192,0.0007199999999999984
193,0.003265777777777777
194,0.007372444444444445
195,0.007265777777777774
196,0.0063946666666666666
197,0.006176000000000001
198,0.0007075555555555516
199,0.003391999999999999
200,0.007406222222222224
201,0.007032888888888887
202,0.006193777777777777
203,0.005717333333333331
204,0.0007182222222222173
205,0.004119111111111108
206,0.0074862222222222205
207,0.00681244444444444
208,0.006117333333333329
209,0.005921777777777776
210,0.0020337777777777732
211,0.0017422222222222214
212,0.0053155555555555525
213,0.006823111111111106
214,0.006293333333333331
215,0.006042666666666668
216,0.002913777777777779
217,0.0013973333333333338
218,0.005221333333333335
219,0.007498666666666667
220,0.006302222222222223
221,0.005765333333333331
222,0.004389333333333328
223,0.0005155555555555538
224,0.004426666666666662
225,0.007806222222222221
226,0.006272
227,0.005733333333333333
228,0.004968888888888884
229,0.000629333333333329
230,0.0038008888888888884
231,0.0074862222222222205
232,0.006513777777777778
233,0.0056088888888888855
234,0.005626666666666662
235,0.0027484444444444422
236,0.0012764444444444412
237,0.004970666666666665
238,0.007599999999999996
239,0.006207999999999998
240,0.0055253333333333335
241,0.003736888888888887
242,0.0013084444444444454
243,0.0051324444444444395
244,0.007868444444444442
245,0.006355555555555552
246,0.005688888888888889
247,0.005781333333333333
248,0.000938666666666664
249,0.0028533333333333327
250,0.006888888888888889
251,0.007146666666666662
252,0.005880888888888887
253,0.005754666666666665
254,0.0013475555555555532
255,0.0019555555555555507
256,0.0061831111111111114
257,0.007495111111111112
258,0.006307555555555552
259,0.005683555555555553
260,0.0004319999999999949
261,0.003966222222222218
262,0.008497777777777778
263,0.007441777777777776
264,0.006325333333333329
265,0.004783999999999997
266,0.0
267,0.004325333333333334
268,0.008542222222222222
269,0.007477333333333329
270,0.0064782222222222186
271,0.0062666666666666634
272,0.00025244444444444403
273,0.0030186666666666626
274,0.006879999999999997
275,0.007406222222222224
276,0.0062399999999999956
277,0.006124444444444439
278,0.0026097777777777734
279,0.000490666666666667
280,0.004401777777777775
281,0.00784
282,0.00638222222222222
283,0.00539022222222222
284,0.005242666666666666
285,0.00010133333333332828
286,0.0023199999999999957
287,0.005831111111111106
288,0.006511999999999997
289,0.005313777777777778
290,0.005047111111111106
291,0.0018542222222222224
292,0.0007199999999999984
293,0.004575999999999997
294,0.006106666666666663
295,0.004972444444444446
296,0.004671999999999996
297,0.002172444444444442
298,0.00068622222222222
299,0.004494222222222219
