,mpv
0,0.0026951111111112036
1,0.0027679999999999927
2,0.0023964444444445343
3,0.0032053333333333933
4,0.011008000000000018
5,0.012851555555555616
6,0.011150222222222284
7,0.00901155555555555
8,0.005262222222222279
9,0.0027911111111111886
10,0.0008266666666667533
11,0.0006577777777778682
12,0.0004675555555555544
13,0.0006506666666666883
14,0.0005582222222222377
15,0.0009742222222223207
16,0.001281777777777826
17,0.0015200000000000768
18,0.0020782222222223146
19,0.002488888888888985
20,0.0022080000000000988
21,0.0020835555555556162
22,0.0026044444444445203
23,0.0070897777777778614
24,0.011719111111111125
25,0.012999111111111183
26,0.010816000000000048
27,0.006800000000000028
28,0.004728888888888894
29,0.0028871111111111736
30,0.0012159999999999949
31,0.0007271111111111228
32,0.0004426666666667023
33,0.0003768888888889821
34,0.001048888888888988
35,0.0009742222222223207
36,0.0014133333333333775
37,0.0017280000000000628
38,0.001880888888888932
39,0.001553777777777876
40,0.0015111111111111297
41,0.0032142222222222294
42,0.011376000000000053
43,0.013285333333333371
44,0.012030222222222275
45,0.009550222222222238
46,0.00608355555555562
47,0.005559111111111181
48,0.002586666666666737
49,0.0010364444444445065
50,0.0006311111111111378
51,0.0
52,0.0002257777777777692
53,0.0002488888888889651
54,8.533333333338167e-05
55,0.000920888888888971
56,0.0007253333333333556
57,0.0013084444444444454
58,0.001768888888888931
59,0.0014204444444444464
60,0.0017724444444444654
61,0.0012711111111111117
62,0.0016195555555555963
63,0.0036302222222223124
64,0.01081422222222228
65,0.012442666666666713
66,0.011025777777777801
67,0.008273777777777824
68,0.005018666666666727
69,0.002563555555555652
70,0.001240888888888958
71,0.0008000000000000229
72,0.0011804444444445394
73,3.2000000000032e-05
74,0.0006915555555555564
75,0.0011822222222223067
76,0.00146488888888896
77,0.0016035555555555803
78,0.0024764444444445033
79,0.0028462222222223055
80,0.0028124444444445063
81,0.0022062222222222205
82,0.002771555555555638
83,0.0035608888888889467
84,0.01023822222222226
85,0.012030222222222275
86,0.011971555555555624
87,0.009187555555555615
88,0.0054808888888889795
89,0.004145777777777804
90,0.0017582222222222166
91,0.0010862222222223217
92,0.0015431111111111617
93,0.0008124444444445045
94,0.0013795555555555783
95,0.001624888888888898
96,0.0020213333333334305
97,0.0024213333333333864
98,0.002513777777777837
99,0.002513777777777837
100,0.0033831111111111145
101,0.0036462222222222174
102,0.0038542222222223144
103,0.003834666666666764
104,0.003850666666666669
105,0.010305777777777858
106,0.013351111111111202
107,0.013068444444444438
108,0.010488888888888881
109,0.006755555555555626
110,0.00477155555555564
111,0.0034008888888888977
112,0.002040888888888981
113,0.001864888888888916
114,0.0021422222222222675
115,0.002289777777777835
116,0.0028693333333333904
117,0.003116444444444477
118,0.003146666666666742
119,0.003498666666666761
120,0.003034666666666741
121,0.004122666666666719
122,0.003626666666666667
123,0.007022222222222263
124,0.012567111111111195
125,0.01256355555555555
126,0.011168000000000067
127,0.008202666666666691
128,0.006480000000000041
129,0.004654222222222226
130,0.0028124444444445063
131,0.0022524444444445013
132,0.001962666666666668
133,0.002088888888888918
134,0.0024391111111111696
135,0.002867555555555623
136,0.003626666666666667
137,0.0035360000000000946
138,0.0034542222222222474
139,0.003745777777777848
140,0.0036960000000000326
141,0.004350222222222255
142,0.00464533333333339
143,0.006963555555555612
144,0.011626666666666674
145,0.011871999999999994
146,0.010762666666666698
147,0.008142222222222273
148,0.0061368888888889694
149,0.004650666666666692
150,0.003196444444444446
151,0.0034240000000000936
152,0.0032728888888888807
153,0.002970666666666677
154,0.003395555555555596
155,0.004090666666666687
156,0.004197333333333386
157,0.0035431111111111635
158,0.004451555555555653
159,0.004631111111111141
160,0.004851555555555609
161,0.004508444444444537
162,0.005511111111111133
163,0.006643555555555625
164,0.008888888888888946
165,0.011301333333333385
166,0.0092835555555556
167,0.00817066666666666
168,0.00785955555555562
169,0.005349333333333428
170,0.00423466666666672
171,0.004090666666666687
172,0.003868444444444452
173,0.004122666666666719
174,0.004648888888888925
175,0.004350222222222255
176,0.00469155555555556
177,0.004600888888888988
178,0.00518222222222231
179,0.005660444444444468
180,0.0055608888888889485
181,0.005760000000000098
182,0.006206222222222224
183,0.006343111111111188
184,0.006426666666666692
185,0.006942222222222294
186,0.007297777777777847
187,0.009617777777777836
188,0.01171555555555559
189,0.011848888888888909
190,0.010515555555555611
