,EndDiastoleFrame,EndDiastoleArea,EndSystoleFrame,EndSystoleArea
0,34,980.5,40,867.5
1,82,960.5,88,790.0
2,130,946.5,136,805.0
3,179,952.5,184,819.5
4,219,986.5,225,843.0
5,263,1029.0,268,832.5
