,mpv
0,0.004908333333333348
1,0.006452777777777752
2,0.009288888888888902
3,0.0034194444444444194
4,0.01058888888888887
5,0.02394166666666664
6,0.03218888888888888
7,0.0367972222222222
8,0.0290111111111111
9,0.018849999999999978
10,0.01349166666666668
11,0.012111111111111128
12,0.007749999999999979
13,0.006113888888888863
14,0.004238888888888903
15,0.005213888888888907
16,0.008299999999999974
17,0.005674999999999986
18,0.004230555555555571
19,0.018536111111111087
20,0.027144444444444416
21,0.03349444444444444
22,0.03203055555555556
23,0.021633333333333338
24,0.014277777777777778
25,0.01069444444444445
26,0.008199999999999985
27,0.005716666666666648
28,0.00347222222222221
29,0.0037138888888889054
30,0.006649999999999989
31,0.005441666666666678
32,0.0027833333333333043
33,0.015933333333333355
34,0.027669444444444413
35,0.033997222222222234
36,0.035172222222222216
37,0.023611111111111083
38,0.014494444444444421
39,0.01050000000000001
40,0.008938888888888885
41,0.0051444444444444515
42,0.004583333333333328
43,0.003983333333333339
44,0.0063750000000000195
45,0.007755555555555571
46,0.0020527777777777922
47,0.010922222222222222
48,0.025011111111111095
49,0.0332527777777778
50,0.03611388888888889
51,0.02762500000000001
52,0.01693055555555556
53,0.011733333333333318
54,0.009341666666666637
55,0.005774999999999975
56,0.004138888888888859
57,0.002375000000000016
58,0.002802777777777765
59,0.006544444444444464
60,0.003313888888888894
61,0.004266666666666641
62,0.019333333333333313
63,0.028675000000000006
64,0.033897222222222245
65,0.030219444444444465
66,0.019458333333333355
67,0.011900000000000022
68,0.009358333333333302
69,0.00646388888888888
70,0.003047222222222201
71,0.0021027777777777867
72,0.0013083333333333558
73,0.003194444444444444
74,0.0035361111111111287
75,0.0011999999999999789
76,0.01330555555555557
77,0.025324999999999986
78,0.03247777777777777
79,0.03260000000000002
80,0.02330833333333332
81,0.014369444444444435
82,0.009419444444444425
83,0.007638888888888862
84,0.0037972222222222296
85,0.0026527777777777817
86,0.0017166666666666441
87,0.0028888888888888853
88,0.004866666666666686
89,0.0
90,0.009080555555555536
91,0.022858333333333314
92,0.03075
93,0.034358333333333324
94,0.02632222222222219
95,0.017177777777777792
96,0.01108888888888887
97,0.009527777777777746
98,0.006761111111111107
99,0.0046472222222221915
100,0.002255555555555566
101,0.002977777777777746
102,0.004680555555555577
103,0.0038083333333333025
104,0.0037499999999999756
105,0.019933333333333303
106,0.030363888888888857
107,0.03604722222222223
108,0.03313055555555555
109,0.020655555555555538
110,0.014036111111111083
111,0.011427777777777759
112,0.010236111111111112
113,0.0069777777777777494
114,0.005361111111111094
115,0.0038722222222222213
116,0.005988888888888877
117,0.008400000000000019
118,0.004436111111111085
119,0.017541666666666678
120,0.02815277777777775
121,0.0395388888888889
122,0.03862777777777776
123,0.02791111111111111
124,0.020786111111111116
125,0.020102777777777747
126,0.01735555555555557
127,0.014719444444444452
128,0.01387499999999997
129,0.011644444444444457
130,0.014686111111111122
131,0.017316666666666647
132,0.012477777777777754
133,0.02276111111111112
134,0.031594444444444425
135,0.034497222222222235
136,0.03610277777777776
137,0.026427777777777772
138,0.025224999999999997
139,0.022058333333333346
140,0.020361111111111108
141,0.018294444444444447
142,0.018094444444444413
143,0.018230555555555528
144,0.016972222222222222
145,0.01651666666666668
146,0.018886111111111104
147,0.020086111111111082
148,0.019905555555555565
149,0.02341666666666664
150,0.02318888888888887
151,0.021680555555555536
152,0.022086111111111084
153,0.02218611111111113
154,0.023025000000000018
155,0.020752777777777787
156,0.01920555555555553
157,0.019602777777777747
158,0.023058333333333347
159,0.02341666666666664
160,0.025847222222222244
161,0.02612777777777775
162,0.027841666666666653
163,0.0297027777777778
164,0.0264388888888889
165,0.024947222222222232
166,0.024230555555555533
167,0.02428888888888886
168,0.023891666666666644
169,0.023436111111111102
170,0.02279722222222219
171,0.02179722222222219
172,0.026102777777777753
173,0.026424999999999976
174,0.02699999999999997
175,0.02876944444444446
176,0.030980555555555567
177,0.03156388888888889
178,0.027547222222222223
179,0.02561388888888888
180,0.02588611111111111
181,0.025638888888888878
182,0.024936111111111103
183,0.02378611111111112
184,0.022466666666666635
185,0.023744444444444457
186,0.026444444444444437
187,0.027633333333333343
188,0.027755555555555533
189,0.02883888888888886
190,0.029294444444444456
191,0.02668055555555554
192,0.024802777777777785
193,0.02571111111111113
194,0.0244611111111111
195,0.024213888888888868
196,0.021772222222222193
197,0.020569444444444418
198,0.019480555555555557
199,0.023016666666666685
200,0.02578055555555553
201,0.02639722222222224
202,0.025530555555555556
203,0.027847222222222245
204,0.027383333333333315
205,0.025413888888888903
206,0.024466666666666637
207,0.023594444444444418
208,0.022391666666666643
209,0.021277777777777784
210,0.018755555555555525
211,0.016341666666666643
212,0.01856388888888888
213,0.02231388888888891
214,0.023386111111111108
215,0.02538611111111111
216,0.0239611111111111
217,0.025416666666666643
218,0.025011111111111095
219,0.02206944444444442
220,0.02169444444444446
221,0.020852777777777776
222,0.019963888888888892
223,0.01798611111111109
224,0.015252777777777782
225,0.014802777777777776
226,0.016202777777777788
227,0.021094444444444416
228,0.02046944444444443
229,0.022455555555555562
230,0.02107777777777775
231,0.0211972222222222
232,0.02219444444444446
233,0.021025000000000016
234,0.018305555555555575
235,0.01821666666666666
236,0.017208333333333325
237,0.01633055555555557
238,0.012680555555555528
239,0.01361388888888887
240,0.014088888888888873
241,0.01805277777777775
242,0.019333333333333313
243,0.01956388888888888
244,0.01920555555555553
245,0.020252777777777786
246,0.021102777777777748
247,0.019133333333333336
248,0.018002777777777756
249,0.01699722222222222
250,0.01733333333333331
251,0.01602500000000001
252,0.012538888888888877
253,0.013447222222222222
254,0.013791666666666647
255,0.017174999999999996
256,0.018536111111111087
257,0.01906388888888888
258,0.01901111111111109
259,0.01855277777777775
260,0.019536111111111087
261,0.01892499999999997
262,0.01763611111111113
263,0.016447222222222224
264,0.01603888888888888
265,0.014433333333333354
266,0.011483333333333345
267,0.013258333333333316
268,0.013383333333333303
269,0.015152777777777793
270,0.018777777777777782
271,0.018666666666666665
272,0.018058333333333343
273,0.018363888888888902
274,0.019811111111111113
275,0.017766666666666653
276,0.01667777777777779
277,0.015786111111111112
278,0.015483333333333349
279,0.013749999999999984
280,0.010833333333333306
281,0.011647222222222198
282,0.010852777777777767
283,0.013677777777777789
284,0.01713888888888887
285,0.017216666666666658
286,0.018261111111111117
287,0.016594444444444467
288,0.018622222222222207
289,0.019516666666666682
290,0.016108333333333336
291,0.01689722222222223
292,0.016458333333333353
293,0.014361111111111102
294,0.01280555555555557
295,0.012358333333333305
296,0.012016666666666675
297,0.013091666666666668
298,0.015030555555555547
299,0.017130555555555538
