,end_diastole_frame,end_systole_frame
0,3,4
1,10,11
2,18,19
3,26,27
4,33,34
5,41,42
6,49,50
7,56,57
8,64,65
9,71,72
10,79,80
11,86,87
12,94,95
13,102,103
14,109,110
15,117,118
16,124,125
17,132,133
18,139,140
19,147,148
20,155,156
21,162,163
22,170,171
23,178,179
24,186,187
25,194,195
26,202,203
27,211,212
28,219,220
29,227,228
30,235,236
31,243,244
32,251,252
33,258,259
34,266,267
35,274,275
36,282,283
37,290,291
