,end_diastole_frame,end_systole_frame
0,9,10
1,21,22
2,32,33
3,44,45
4,55,56
5,67,68
6,79,80
7,90,91
8,101,102
9,113,114
10,125,126
11,137,138
12,148,149
13,159,160
14,171,172
15,183,184
16,195,196
17,206,207
18,218,219
19,230,231
20,241,242
21,252,253
22,265,266
23,276,277
24,288,289
