,area
0,106.94311979316288
1,105.84688307957484
2,105.29503016374605
3,104.99827635736857
4,105.23642631427751
5,105.52944556162022
6,105.95777075553002
7,106.38724504452743
8,107.2729100833094
9,107.40850330364837
10,106.66762424590635
11,105.84257397299626
12,105.26888825050273
13,105.29617925883367
14,105.54380925021546
15,105.94829072105716
16,106.30221200804367
17,107.0123527721919
18,107.58546394714162
19,107.33381212295318
20,106.2915828784832
21,105.62424590634875
22,105.51278368284976
23,105.37058316575697
24,105.84774490089055
25,106.38322321172078
26,106.87417408790577
27,107.59724217178972
28,107.66388968687158
29,107.08014938236138
30,106.23498994541798
31,106.13185866130422
32,106.30163746049986
33,106.2421717897156
34,106.80235564492962
35,106.8066647515082
36,107.34041941970698
37,107.39959781671934
38,106.882505027291
39,105.83970123527722
40,105.37115771330078
41,105.1801206549842
42,104.84027578282102
43,105.26601551278368
44,105.28411376041367
45,105.701809824763
46,106.1060040218328
47,105.99741453605286
48,105.12324044814709
49,104.33467394426889
50,104.33869577707556
51,104.28669922436082
52,104.6403332375754
53,104.7207698937087
54,104.93392703246194
55,105.25165182418846
56,105.1735133582304
57,104.4280379201379
58,103.73398448721632
59,103.61850043091066
60,103.60471128985924
61,104.04826199367997
62,104.41827061189313
63,104.60758402757828
64,105.40907785119218
65,105.77334099396725
66,105.10485492674519
67,104.32174662453318
68,104.13846595805803
69,104.17581154840563
70,104.53547831083021
71,104.894570525711
72,105.14162596954898
73,106.1243895432347
74,106.26429187015225
75,105.66388968687158
76,104.95805802930192
77,104.92846883079575
78,104.93047974719909
79,105.18126975007182
80,105.55817293881069
81,105.7572536627406
82,106.39442688882505
83,106.68198793450158
84,106.03160011490951
85,105.30307382935938
86,105.06348750359092
87,104.95145073254812
88,105.28095374892273
89,105.57943119793163
90,105.91008330939385
91,106.58546394714162
92,106.7454754380925
93,106.01752370008619
94,105.38609594943982
95,105.08273484630853
96,105.02355644929618
97,105.3605285837403
98,105.97558172938811
99,106.35363401321459
100,106.93622522263718
101,107.3478885377765
102,106.76788279230107
103,106.04222924446998
104,105.82476299913817
105,105.83453030738293
106,106.12697500718184
107,106.73513358230393
108,107.2795173800632
109,108.0379201378914
110,108.31169204251651
111,107.80494110887676
112,107.00545820166619
113,106.71272622809538
114,106.45532892846883
115,106.76587187589773
116,107.55127836828497
117,107.80350474001723
118,108.31600114909509
119,108.58230393565067
120,108.1864406779661
121,107.13875323182994
122,106.51824188451594
123,105.99626544096525
124,106.12122953174375
125,106.74748635449583
126,107.18328066647516
127,107.72536627405918
128,108.07871301350187
129,107.47974719908072
130,106.66934788853777
131,106.22895719620799
132,105.79775926457914
133,105.86756679115197
134,106.38437230680839
135,106.83682849755817
136,107.05745475438093
137,107.65383510485492
138,107.0746911806952
139,106.19620798621087
140,105.51738006320024
141,105.13760413674231
142,105.0563056592933
143,105.52714737144498
144,105.87675955185291
145,106.15426601551279
146,106.70267164607871
147,106.60528583740304
148,105.83941396150531
149,105.28066647515082
150,105.07612754955473
151,104.9750071818443
152,105.3481758115484
153,106.01005458201666
154,106.46136167767882
155,106.86440677966101
156,106.86785406492388
157,105.99856363114047
158,105.43952887101408
159,105.31513932777938
160,105.24877908646941
161,105.5035909221488
162,106.3599540361965
163,106.75208273484631
164,107.55415110600403
165,107.59149669635163
166,106.95317437517954
167,106.22234989945417
168,106.01149095087618
169,106.08014938236138
170,106.3292157426027
171,107.12898592358518
172,107.68399885090491
173,108.61016949152543
174,108.36512496409078
175,107.70324619362252
176,107.1614478598104
177,106.7641482332663
178,106.69721344441253
179,106.66963516230967
180,107.33639758690032
181,107.94513070956621
182,108.68399885090491
183,108.78799195633438
184,108.17035334673945
185,107.23671358804941
186,106.9807526572824
187,106.76558460212583
188,106.62539500143637
189,107.41855788566504
190,107.77937374317725
191,108.26544096523988
192,108.61878770468256
193,107.9003160011491
194,107.0499856363114
195,106.49525998276357
196,106.36943407066934
197,106.30336110313128
198,106.7265153691468
199,107.29617925883367
200,108.06952025280091
201,108.85176673369722
202,108.55099109451307
203,107.49841999425452
204,106.89543234702671
205,106.52370008618213
206,106.23039356506752
207,106.403619649526
208,106.75667911519679
209,107.0373455903476
210,107.73484630853203
211,107.50904912381499
212,106.85981039931055
213,105.92473427176098
214,105.7015225509911
215,105.50588911232404
216,105.59925308819305
217,106.3668486067222
218,106.82361390405056
219,107.70382074116633
220,108.14363688595232
221,107.85808675667911
222,106.78713013501867
223,106.17523700086183
224,106.03648376903189
225,106.30767020970985
226,106.77391554151106
227,107.2605573111175
228,107.90950876185005
229,108.81930479747199
230,108.47974719908072
231,107.67595518529158
232,106.94197069807527
233,106.68428612467682
234,106.64435507038208
235,107.05257110025855
236,107.70985349037633
237,108.31973570812984
238,109.31600114909509
239,109.41941970698075
240,108.73771904625107
241,107.79603562194771
242,107.17178971559896
243,107.0376328641195
244,107.07612754955473
245,107.44211433496122
246,107.58000574547543
247,108.14536052858374
248,108.56248204538926
249,108.23671358804941
250,107.1427750646366
251,106.38379775926458
252,106.11203677104281
253,106.06578569376616
254,106.25567365699511
255,106.64320597529445
256,107.34875035909222
257,107.96121804079287
258,107.8937087043953
259,107.04653835104855
260,105.94915254237289
261,105.49899454179834
262,105.00201091640334
263,105.25136455041655
264,105.41396150531456
265,105.777075553002
266,106.54122378626832
267,106.85435219764436
268,106.4472852628555
269,105.62683137029589
270,105.12869864981327
271,104.89543234702671
272,104.97529445561621
273,105.4355070382074
274,105.94685435219765
275,106.69807526572824
276,107.280091927607
277,107.39069232979028
278,106.71416259695489
279,106.11864406779661
280,105.80407928756105
281,105.66848606722206
282,105.9253088193048
283,106.42372881355932
284,107.05946567078426
285,107.76644642344154
286,108.0192473427176
287,107.4472852628555
288,106.70382074116633
289,106.16862970410801
290,106.12611318586613
291,106.27061189313416
292,106.69118069520253
293,107.30077563918414
294,108.04538925596093
295,108.5837403045102
296,108.68284975581729
297,107.54811835679402
298,106.80465383510486
299,106.42631427750646
