,mpv
0,0.11540547149950564
1,0.09978628616388985
2,0.08413874741718153
3,0.0690830861270304
4,0.060825155146321364
5,0.05924445247791099
6,0.05829461320631013
7,0.06246965298968998
8,0.06469893993684284
9,0.06345847820154316
10,0.06702746382281954
11,0.0756185473838662
12,0.09858835454522907
13,0.10587872537240439
14,0.10595315307652231
15,0.09306298355856579
16,0.07844680014034944
17,0.06366049625557768
18,0.05092627049863019
19,0.0499480778159368
20,0.04857648155433403
21,0.05261684263502431
22,0.05281531651267224
23,0.05357022608301176
24,0.057621219692861714
25,0.06440122912037094
26,0.08609513278256842
27,0.09520012191966776
28,0.09925111552951771
29,0.08666574518080616
30,0.07335381867284774
31,0.057762986748324585
32,0.045471783039698344
33,0.04373159243389224
34,0.04215797811825506
35,0.0417964721268248
36,0.045152807164906994
37,0.04262226522489576
38,0.0489273550166045
39,0.05361630037603715
40,0.07444542499991147
41,0.0876722912745922
42,0.09249945951310112
43,0.08103404890254584
44,0.06684671082710447
45,0.04820079885735762
46,0.03498102093544997
47,0.03079889279929693
48,0.03570757709469685
49,0.03393903307779822
50,0.03401346078191625
51,0.038266472445800725
52,0.044486502004231765
53,0.05452360953099922
54,0.07627776419176835
55,0.0857194500855919
56,0.08829252214224204
57,0.07439580653049949
58,0.05629215354789785
59,0.03853582985118009
60,0.028073421158024248
61,0.03189758747913374
62,0.033850428668134036
63,0.034562808121834654
64,0.03422965554149704
65,0.038613801731684605
66,0.04598214443936455
67,0.06050263509514342
68,0.07924423982732776
69,0.08582931955357553
70,0.08500707063189128
71,0.06789933121391589
72,0.05130195319560671
73,0.03771003675310913
74,0.031557346546022935
75,0.035108611285366464
76,0.037203219529829634
77,0.03576428391688202
78,0.03646957501780956
79,0.04108763684951078
80,0.04727931299684929
81,0.06493994393112956
82,0.07938600688279063
83,0.08835631731720028
84,0.08131049466069828
85,0.0647981768756668
86,0.04216861064741473
87,0.026407658256336175
88,0.019220068544371305
89,0.02145998802068383
90,0.020138010228493042
91,0.018808944083529178
92,0.018922357727899408
93,0.020513692925469562
94,0.022342487940939848
95,0.03778800863361376
96,0.050678178151570275
97,0.05778070763025733
98,0.05200015594376106
99,0.03441040853721211
100,0.018273773449157038
101,0.005408413165906456
102,0.0055289151630498745
103,0.005287911168763038
104,0.006035732386329484
105,0.007067087714821452
106,0.008027559515581983
107,0.010689235981896417
108,0.012160069182323152
109,0.028707828731220353
110,0.043359453913302426
111,0.04906912207206737
112,0.039336813714545005
113,0.02460721665195842
114,0.010628984983324652
115,0.0
116,0.003359879214468786
117,0.004508192363717578
118,0.004717298770525291
119,0.006471666081877658
120,0.010076093467019764
121,0.011422880493916487
122,0.015566022689817216
123,0.03308488656863484
124,0.04611327896566764
125,0.0516882684217429
126,0.0433275563258233
127,0.026241081966167368
128,0.014247589074013134
129,0.003338614156149333
130,0.00600383479885036
131,0.008272107686255414
132,0.008793101615081178
133,0.01128465761484021
134,0.013769125261826054
135,0.014811113119477803
136,0.01893299025705919
137,0.035888330090412035
138,0.0512594230789678
139,0.061005908142036436
140,0.057762986748324585
141,0.04104156255648539
142,0.02489075076288405
143,0.014364546894769847
144,0.009601173831219278
145,0.014003040903339703
146,0.016370550729568722
147,0.016919898069487127
148,0.01831275938940935
149,0.021257969966649304
150,0.027431925232054954
151,0.04283845998447655
152,0.058468277849252015
153,0.06724720275878693
154,0.06582953220415877
155,0.04874660202088943
156,0.03459824988570037
157,0.020538502160175498
158,0.01055101310282014
159,0.01772088193285204
160,0.018178080686719666
161,0.018344656976888474
162,0.019510691008070125
163,0.021016965972362578
164,0.02760558987499695
165,0.03829128168050677
166,0.057894121274627675
167,0.06696721282424789
168,0.06927801582829174
169,0.055714452796886804
170,0.042136713059935604
171,0.025975268737174595
172,0.01768544016898632
173,0.01976941588428982
174,0.021810861482954302
175,0.020223070461770742
176,0.02165846189833176
177,0.023777879377500866
178,0.030026262347024546
179,0.04058081962623117
180,0.060038347988502716
181,0.06780363845147852
182,0.0715002144226714
183,0.0618281570637208
184,0.04725095958575676
185,0.03245756734821181
186,0.020687357568411557
187,0.021605299252533294
188,0.022385018057578754
189,0.02044635357412472
190,0.023703451673382947
191,0.024103943605065403
192,0.029976643877612563
193,0.03541695463099814
194,0.053779332489819365
195,0.06788869868475622
196,0.07266270427746657
197,0.06892359818963478
198,0.05433222400612436
199,0.04030791804446532
200,0.024915559997589987
201,0.020138010228493042
202,0.024256343189687946
203,0.021757698837155726
204,0.02363256814565151
205,0.02249488752556239
206,0.02562439527490412
207,0.030107778403915653
208,0.04694616041651167
209,0.06354708261120745
210,0.07076656991065133
211,0.06958990335031001
212,0.0546582882336889
213,0.039825910055891756
214,0.02601779885381339
215,0.01822769915613165
216,0.02055976721849495
217,0.01914918501663998
218,0.021307588436061287
219,0.0216407410163989
220,0.02365028902758437
221,0.030224736224672477
222,0.04279238569145116
223,0.05980088817060247
224,0.06697784535340756
225,0.06728973287542583
226,0.05319454338603524
227,0.04009172328488453
228,0.027236995530793617
229,0.01789809075218063
230,0.017235329767891883
231,0.017323934177556177
232,0.01842617303377958
233,0.020425088515805268
234,0.02290955616279111
235,0.024830499764312286
236,0.03706145247436676
237,0.05758932210538259
238,0.0640751648928064
239,0.06679709235769249
