,end_diastole_frame,end_systole_frame
0,9,10
1,22,23
2,34,35
3,47,48
4,59,60
5,72,73
6,84,85
7,97,98
8,108,109
9,121,122
10,134,135
11,146,147
12,159,160
13,172,173
14,184,185
15,198,199
16,210,211
17,222,223
18,235,236
19,247,248
20,259,260
21,272,273
22,284,285
23,297,298
