,end_diastole_frame,end_systole_frame
0,8,9
1,19,20
2,32,33
3,43,44
4,55,56
5,68,69
6,80,81
7,93,94
8,105,106
9,117,118
10,129,130
11,142,143
12,154,155
13,165,166
14,177,178
15,189,190
16,200,201
17,212,213
18,224,225
19,236,237
20,247,248
21,259,260
22,271,272
23,283,284
24,293,294
