,end_diastole_frame,end_systole_frame
0,4,5
1,13,14
2,22,23
3,31,32
4,40,41
5,49,50
6,58,59
7,66,67
8,75,76
9,84,85
10,93,94
11,102,103
12,111,112
13,119,120
14,128,129
15,137,138
16,146,147
17,155,156
18,164,165
19,172,173
20,181,182
21,190,191
22,199,200
23,208,209
24,217,218
25,226,227
26,235,236
27,244,245
28,252,253
29,261,262
30,270,271
31,279,280
32,288,289
33,297,298
