,EndDiastoleFrame,EndDiastoleArea,EndSystoleFrame,EndSystoleArea
0,1,0,9,0
1,13,0,21,0
2,24,0,32,0
3,36,0,43,0
4,47,0,55,0
5,58,0,66,0
6,70,0,77,0
7,81,0,88,0
8,92,0,100,0
9,103,0,111,0
10,115,0,122,0
11,126,0,133,0
12,137,0,145,0
13,148,0,156,0
14,159,0,167,0
15,171,0,178,0
16,182,0,189,0
17,193,0,201,0
18,204,0,212,0
19,215,0,223,0
20,227,0,234,0
21,238,0,246,0
22,250,0,257,0
23,261,0,269,0
24,273,0,280,0
25,284,0,292,0
26,295,0,303,0
