,end_diastole_frame,end_systole_frame
0,6,7
1,14,15
2,21,22
3,29,30
4,36,37
5,43,44
6,51,52
7,58,59
8,65,66
9,73,74
10,80,81
11,87,88
12,94,95
13,102,103
14,109,110
15,116,117
16,123,124
17,130,131
18,137,138
19,144,145
20,151,152
21,159,160
22,166,167
23,173,174
24,180,181
25,187,188
26,195,196
27,202,203
28,208,209
29,216,217
30,223,224
31,231,232
32,238,239
33,245,246
34,252,253
35,260,261
36,267,268
37,274,275
38,282,283
39,289,290
40,296,297
