,end_diastole_frame,end_systole_frame
0,7,8
1,14,15
2,22,23
3,29,30
4,36,37
5,43,44
6,51,52
7,57,58
8,64,65
9,71,72
10,78,79
11,86,87
12,93,94
13,100,101
14,108,109
15,114,115
16,122,123
17,128,129
18,136,137
19,142,143
20,149,150
21,156,157
22,163,164
23,170,171
24,177,178
25,184,185
26,191,192
27,198,199
28,205,206
29,212,213
30,219,220
31,226,227
32,233,234
33,240,241
34,247,248
35,254,255
36,261,262
37,268,269
38,275,276
39,282,283
40,289,290
