,end_diastole_frame,end_systole_frame
0,10,11
1,20,21
2,29,30
3,38,39
4,47,48
5,57,58
6,66,67
7,75,76
8,85,86
9,94,95
10,103,104
11,112,113
12,121,122
13,130,131
14,139,140
15,148,149
16,157,158
17,165,166
18,175,176
19,183,184
20,192,193
21,201,202
22,210,211
23,219,220
24,228,229
25,237,238
26,245,246
27,254,255
28,263,264
29,271,272
30,280,281
31,289,291
