,end_diastole_frame,end_systole_frame
0,6,7
1,18,19
2,31,32
3,44,45
4,56,57
5,68,69
6,80,81
7,92,93
8,104,105
9,116,117
10,129,130
11,141,142
12,153,154
13,165,166
14,177,178
15,189,190
16,201,202
17,213,214
18,225,226
19,237,238
20,249,250
21,261,262
22,273,274
23,285,286
24,297,298
