,end_diastole_frame,end_systole_frame
0,9,10
1,22,23
2,35,36
3,48,49
4,62,63
5,74,75
6,86,87
7,100,101
8,112,113
9,125,126
10,137,138
11,150,151
12,163,164
13,176,177
14,188,189
15,200,201
16,213,214
17,226,227
18,238,239
19,250,251
20,263,264
21,275,276
22,287,288
