,mpv
0,1.708863888888889
1,1.7113694444444445
2,1.70755
3,1.70055
4,1.7027722222222221
5,1.7101777777777778
6,1.706886111111111
7,1.6998916666666666
8,1.7042722222222222
9,1.7109416666666666
10,1.7161805555555556
11,1.7234083333333334
12,1.70705
13,1.7104527777777778
14,1.7145444444444444
15,1.7171583333333333
16,1.709561111111111
17,1.7068361111111112
18,1.7231555555555556
19,1.7309333333333334
20,1.7300861111111112
21,1.7249527777777778
22,1.7199805555555556
23,1.7160111111111112
24,1.7235555555555555
25,1.7192027777777779
26,1.7161638888888888
27,1.7233777777777777
28,1.7364638888888888
29,1.7406583333333334
30,1.7426416666666666
31,1.730061111111111
32,1.727225
33,1.7317222222222222
34,1.7328861111111111
35,1.7285833333333334
36,1.730575
37,1.7434972222222223
38,1.7448777777777777
39,1.7494416666666666
40,1.7388
41,1.7280055555555556
42,1.7295277777777778
43,1.7322944444444444
44,1.7309166666666667
45,1.7283027777777777
46,1.7400222222222221
47,1.7503916666666666
48,1.7496527777777777
49,1.7479333333333333
50,1.7338361111111111
51,1.7294805555555555
52,1.7276222222222222
53,1.7285333333333333
54,1.7248833333333333
55,1.7349833333333333
56,1.746013888888889
57,1.7479805555555556
58,1.7537222222222222
59,1.7378166666666666
60,1.7297527777777777
61,1.7276138888888888
62,1.7273972222222223
63,1.7228666666666668
64,1.7305638888888888
65,1.7453416666666666
66,1.7490666666666668
67,1.7526555555555556
68,1.7421083333333334
69,1.731761111111111
70,1.7294166666666666
71,1.7277444444444445
72,1.7297722222222223
73,1.7286444444444444
74,1.738975
75,1.7480666666666667
76,1.745838888888889
77,1.7423472222222223
78,1.7321194444444445
79,1.728375
80,1.730436111111111
81,1.7340472222222223
82,1.7263555555555556
83,1.7337472222222223
84,1.7436472222222221
85,1.7435222222222222
86,1.7446972222222221
87,1.7304277777777777
88,1.7267027777777777
89,1.7310027777777777
90,1.7342083333333334
91,1.7250722222222221
92,1.7314138888888888
93,1.7364388888888889
94,1.7468277777777779
95,1.746113888888889
96,1.7328
97,1.7258277777777777
98,1.7292944444444445
99,1.731463888888889
100,1.7261638888888888
101,1.7323388888888889
102,1.7357694444444445
103,1.74605
104,1.7462833333333334
105,1.7333916666666667
106,1.727238888888889
107,1.7250277777777778
108,1.7275694444444445
109,1.722963888888889
110,1.7218972222222222
111,1.7286444444444444
112,1.7360777777777778
113,1.7400555555555555
114,1.7259333333333333
115,1.7254027777777778
116,1.7196638888888889
117,1.7270361111111112
118,1.724036111111111
119,1.722375
120,1.7272472222222222
121,1.730636111111111
122,1.7326055555555555
123,1.7247694444444444
124,1.7223305555555555
125,1.7176694444444445
126,1.7254472222222221
127,1.7225638888888888
128,1.7218583333333333
129,1.7256
130,1.7280083333333334
131,1.7306
132,1.7268305555555556
133,1.721475
134,1.7180944444444444
135,1.724288888888889
136,1.7262333333333333
137,1.7225194444444445
138,1.7275305555555556
139,1.7249055555555555
140,1.7328805555555555
141,1.7268777777777777
142,1.7244194444444445
143,1.7199527777777779
144,1.7255027777777778
145,1.729275
146,1.7215583333333333
147,1.7273583333333333
148,1.724911111111111
149,1.735511111111111
150,1.73465
151,1.7224583333333334
152,1.7192833333333333
153,1.7287555555555556
154,1.73145
155,1.722025
156,1.731725
157,1.7317583333333333
158,1.7361694444444444
159,1.7381083333333334
160,1.7293305555555556
161,1.7284944444444443
162,1.7371388888888888
163,1.7393
164,1.7324
165,1.7330555555555556
166,1.7329694444444443
167,1.7329194444444445
168,1.7336
169,1.7294694444444445
170,1.7284777777777778
171,1.7362166666666667
172,1.7441888888888888
173,1.7367583333333334
174,1.7355666666666667
175,1.7323472222222223
176,1.7303388888888889
177,1.7322833333333334
178,1.7285805555555556
179,1.7258972222222222
180,1.730075
181,1.7401111111111112
182,1.737238888888889
183,1.7307555555555556
184,1.7298472222222223
185,1.7244833333333334
186,1.7283055555555555
187,1.7234583333333333
188,1.7170444444444444
189,1.724613888888889
190,1.7350166666666667
191,1.7362277777777777
192,1.726161111111111
193,1.7266083333333333
194,1.7201083333333334
195,1.7251277777777778
196,1.7230666666666667
197,1.7124583333333334
198,1.7208083333333333
