,end_diastole_frame,end_systole_frame
0,13,14
1,20,21
2,27,28
3,34,35
4,41,42
5,49,50
6,56,57
7,63,64
8,70,71
9,77,78
10,85,86
11,92,93
12,99,100
13,106,107
14,114,115
15,121,122
16,128,129
17,135,136
18,142,143
19,150,151
20,157,158
21,164,165
22,171,172
23,178,179
24,185,186
25,193,194
26,200,201
27,207,208
28,214,215
29,221,222
30,228,229
31,235,236
32,242,243
33,249,250
34,256,257
35,263,264
36,270,271
37,278,279
38,284,285
39,291,292
