,mpv
0,0.5249454148471616
1,0.529577354959451
2,0.5295539613225203
3,0.5285987211478478
4,0.5209606986899563
5,0.5182899251403619
6,0.5239550842170929
7,0.5246529943855271
8,0.5278891141609482
9,0.5280684653774174
10,0.5296124454148472
11,0.5249376169681846
12,0.5190892077354959
13,0.5210269806612602
14,0.5247348721147848
15,0.5249688084840923
16,0.5275148159700561
17,0.5292771366188397
18,0.5250662819713038
19,0.5198611977542108
20,0.520703368683718
21,0.522945258889582
22,0.5234521210230817
23,0.527241890205864
24,0.5274446350592639
25,0.5251403618215845
26,0.5198572988147224
27,0.5206409856519026
28,0.5216664067373674
29,0.5217014971927636
30,0.5266258577666875
31,0.5272029008109794
32,0.5251676543980037
33,0.5194440112289457
34,0.5196272613849033
35,0.523183094198378
36,0.5228867747972551
37,0.5278579226450405
38,0.5283569868995633
39,0.5265400810979414
40,0.5214363693075483
41,0.5196116656269495
42,0.5228243917654398
43,0.5201887086712415
44,0.5247192763568309
45,0.5273666562694947
46,0.5250155957579539
47,0.5180910792264504
48,0.5136111977542108
49,0.5182392389270118
50,0.5177050842170929
51,0.5196701497192764
52,0.5200483468496568
53,0.5219120399251403
54,0.5170500623830319
55,0.5163209606986899
56,0.5188864628820961
57,0.5194401122894573
58,0.5176310043668122
59,0.5215455396132253
60,0.5215026512788522
61,0.5183873986275733
62,0.5135293200249532
63,0.5163599500935745
64,0.5198611977542108
65,0.5146210230817218
66,0.5193543356207112
67,0.5194440112289457
68,0.5181456643792889
69,0.5141960386774798
70,0.5149680286961946
71,0.5187344042420462
72,0.5142857142857142
73,0.5206292888334373
74,0.5221342794759826
75,0.5190463194011229
76,0.5144260761072988
77,0.5127690268247037
78,0.5167927323767935
79,0.5139465065502183
80,0.5181261696818465
81,0.5188318777292577
82,0.5183834996880848
83,0.5115720524017467
84,0.5096108858390518
85,0.513977698066126
86,0.5150148159700562
87,0.5175998128509045
88,0.5202121023081722
89,0.5217716781035558
90,0.5163053649407361
91,0.513162819713038
92,0.5154943855271367
93,0.5167108546475359
94,0.5167927323767935
95,0.5207384591391142
96,0.5237913287585777
97,0.5171592326887087
98,0.5138412351840299
99,0.5150538053649407
100,0.5167342482844667
101,0.514886150966937
102,0.5200717404865877
103,0.5243917654398004
104,0.5202121023081722
105,0.5117553025577043
106,0.5131238303181535
107,0.5153891141609482
108,0.5118683718028696
109,0.5178805364940736
110,0.521756082345602
111,0.5192061759201497
112,0.5098565190268247
113,0.5053688396756082
114,0.5092794759825328
115,0.5072169369931379
116,0.5092287897691827
117,0.5107766687461011
118,0.5069518091079226
119,0.4993410792264504
120,0.4950873362445415
121,0.49504054897067995
122,0.49392935121646914
123,0.49681066749844044
124,0.5004717716781035
125,0.4972434497816594
126,0.4912897691827823
127,0.48652526512788524
128,0.48920383655645666
129,0.486642233312539
130,0.4889971927635683
131,0.4939995321272614
132,0.488595601996257
133,0.48608078602620086
134,0.48058718028696196
135,0.48151902682470366
136,0.4779787897691828
137,0.4831565814098565
138,0.48407673112913285
139,0.48133967560823454
140,0.4781269494697442
141,0.4760371179039301
142,0.4751598565190268
143,0.4746763880224579
144,0.47854413599500933
145,0.47843106674984404
146,0.47669993761696816
147,0.4748947286338116
148,0.47052011852776043
149,0.4702510917030568
150,0.469132096069869
151,0.4752222395508422
152,0.47499220212102305
153,0.47329226450405487
154,0.4709256082345602
155,0.46804039301310046
156,0.4683016219588272
157,0.4678649407361198
158,0.47623986275733
159,0.47620477230193387
160,0.47218106674984406
161,0.4713271990018715
162,0.46780255770430446
163,0.4677557704304429
164,0.46814566437928884
165,0.4746062071116656
166,0.4742280099812851
167,0.4726255458515284
168,0.46870711166562695
169,0.46520586400499064
170,0.4655645664379289
171,0.46535402370555207
172,0.4727113225202745
173,0.47208359326263255
174,0.47078914535246413
175,0.4680832813474735
176,0.46473409232688706
177,0.46499532127261384
178,0.46655099812850903
179,0.47489862757330004
180,0.4762437616968185
181,0.4738147223955084
182,0.4710464753587024
183,0.4684848721147848
184,0.4703914535246413
185,0.4703641609482221
186,0.47916796631316283
187,0.4805325951341235
188,0.4793629132875858
189,0.47441515907673115
190,0.47068387398627576
191,0.473522301933874
192,0.47454772301933873
193,0.4825951341235184
194,0.4842950717404866
195,0.4819830006238303
196,0.47570180910792265
197,0.4742163131628197
198,0.4748869307548347
199,0.47473487211478477
200,0.48387788521522146
201,0.48449001871490954
202,0.4813279787897692
203,0.47575639426076105
204,0.47188474734872116
205,0.47335074859638177
206,0.47520664379288835
207,0.4834451029320025
208,0.4841040237055521
209,0.4791250779787898
210,0.4728126949469744
211,0.4699235807860262
212,0.47046943231441046
213,0.4726606363069245
214,0.4827432938240799
215,0.4829382407985028
216,0.47618917654398
217,0.47249298190892075
218,0.4697793200249532
219,0.47175998128509045
220,0.4749610106051154
221,0.48478243917654396
222,0.4848604179663132
223,0.4778423268870867
224,0.4736821584529008
225,0.47138958203368686
226,0.4731635995009357
227,0.47767467248908296
228,0.48451731129132874
229,0.48538677479725517
230,0.4788872426699938
231,0.47358078602620085
232,0.4743644728633812
233,0.4760137242669994
234,0.47965143480973177
235,0.4874142233312539
236,0.4858312538989395
237,0.4815112289457268
238,0.47528072364316903
239,0.4763373362445415
240,0.47726528384279476
241,0.48243527760449156
242,0.4883226762320649
243,0.4887476606363069
244,0.4828641609482221
245,0.4795617592014972
246,0.47965143480973177
247,0.4805910792264504
248,0.4867124142233313
249,0.4922411104179663
250,0.49246724890829696
251,0.4866695258889582
252,0.4814605427323768
253,0.4819245165315034
254,0.48341001247660637
255,0.49034622582657517
256,0.49649485339987526
257,0.4952393948845914
258,0.4889465065502183
259,0.4837219276356831
260,0.48437694946974424
261,0.48551933873986275
262,0.4924906425452277
263,0.4971498752339364
264,0.4968886462882096
265,0.49075951341235186
266,0.4850007797878977
267,0.48670461634435436
268,0.488026356830942
269,0.49395274485339985
270,0.497902370555209
271,0.49889660012476605
272,0.49121568933250154
273,0.48567139737991266
274,0.48452900810979416
275,0.4857805676855895
276,0.490361821584529
277,0.4945063942607611
278,0.4901161883967561
279,0.48327744853399873
280,0.47558484092326886
281,0.4734638178415471
282,0.4718418590143481
283,0.4764543044291953
284,0.4782088271990019
285,0.4741890205864005
286,0.47007953836556454
287,0.4640478789769183
288,0.4615720524017467
289,0.4609872114784779
290,0.46458593262632564
291,0.4651044915782907
292,0.46494073611977543
293,0.45979413599500935
294,0.4555247972551466
295,0.45204694323144107
296,0.45324781659388647
297,0.45630068621334996
