,EndDiastoleFrame,EndDiastoleArea,EndSystoleFrame,EndSystoleArea
0,6,0,7,0
1,28,0,29,0
2,54,0,55,0
3,79,0,80,0
4,102,0,103,0
5,127,0,128,0
6,152,0,153,0
7,179,0,180,0
8,210,0,211,0
9,237,0,238,0
10,269,0,270,0
11,296,0,297,0
