,area
0,108.6625202812331
1,109.04597079502433
2,109.0081124932396
3,108.74580854515955
4,108.1638723634397
5,108.13304488912927
6,108.56625202812332
7,108.37912385073012
8,107.97404002163331
9,108.56679286100595
10,108.80367766360195
11,109.03515413737155
12,109.40021633315305
13,109.98161168199026
14,110.68685776095187
15,110.43212547322877
16,111.15521903731747
17,111.7274202271498
18,111.88209843158464
19,111.58734451054625
20,111.40832882639265
21,111.60897782585181
22,110.38939967550027
23,109.83126014061655
24,109.31638723634397
25,109.14061654948621
26,109.47376960519199
27,109.0908599242834
28,108.76636019469984
29,108.46295294753921
30,108.559221200649
31,109.15630070308275
32,109.1833423472147
33,109.29150892374257
34,109.22390481341266
35,109.42509464575446
36,108.4131963223364
37,108.43591130340725
38,108.30502974580854
39,108.76473769605192
40,108.90589507842077
41,109.35154137371552
42,109.61276365603028
43,109.77447268793942
44,110.17306652244457
45,110.9875608436993
46,111.35424553812872
47,112.03893996755002
48,111.4104921579232
49,111.66468361276365
50,111.22660897782585
51,110.1335857220119
52,109.60627366143862
53,109.23309897241752
54,109.52623039480801
55,109.76095186587345
56,109.17685235262304
57,108.91022174148188
58,108.93185505678746
59,109.25473228772309
60,109.5689561925365
61,109.16982152514873
62,109.2974580854516
63,109.21308815575988
64,108.68902109248242
65,108.88642509464576
66,109.09464575446187
67,109.22769064359113
68,109.13250405624662
69,109.82314764737696
70,109.83829096809086
71,110.23742563547864
72,111.12439156300704
73,111.47809626825311
74,111.69767441860465
75,111.70091941590049
76,111.76257436452136
77,111.06435911303407
78,110.3126014061655
79,109.74851270957274
80,109.46295294753921
81,109.92861005949162
82,109.66414277988102
83,109.39102217414819
84,109.3169280692266
85,109.18171984856679
86,109.66576527852894
87,109.86587344510546
88,109.85289345592211
89,109.72904272579773
90,109.87020010816657
91,109.7025419145484
92,109.41806381828015
93,109.08707409410492
94,108.7755543537047
95,109.09140075716604
96,108.9643050297458
97,109.3499188750676
98,109.69172525689562
99,109.97349918875068
100,110.23255813953489
101,111.3731746890211
102,111.59329367225527
103,112.12006489994592
104,111.92644672796106
105,112.21579232017307
106,111.91130340724716
107,110.68902109248242
108,110.06544077879936
109,109.8788534342888
110,109.91400757166036
111,110.24661979448351
112,109.80962682531099
113,109.69172525689562
114,109.59329367225527
115,110.05029745808545
116,110.09951325040562
117,110.07193077339102
118,109.7079502433748
119,109.8209843158464
120,109.4186046511628
121,109.39372633856138
122,109.12060573282855
123,109.65062195781503
124,109.15900486749594
125,109.50513791238507
126,109.66197944835046
127,110.27636560302867
128,110.72471606273662
129,111.50621957815035
130,111.85505678745268
131,112.1308815575987
132,111.93023255813954
133,112.36452136289887
134,111.8869659275284
135,110.7934018388318
136,110.24121146565712
137,109.84640346133045
138,109.967009194159
139,110.18496484586262
140,109.53596538669551
141,109.63169280692266
142,109.39210383991346
143,109.77447268793942
144,110.18604651162791
145,110.28015143320714
146,109.99513250405624
147,110.26987560843699
148,109.87452677122769
149,109.66630611141157
150,109.39210383991346
151,109.60789616008654
152,109.1130340724716
153,109.30286641427799
154,109.18388318009735
155,109.10816657652785
156,109.6100594916171
157,110.27474310438075
158,110.58734451054625
159,111.12763656030286
160,111.85018929150893
161,111.96051919956733
162,111.85884261763115
163,112.22228231476474
164,111.81287182260681
165,111.13142239048135
166,110.30557057869119
167,109.79935100054084
168,109.29583558680368
169,109.8512709572742
170,109.60681449432126
171,109.18766901027583
172,109.20767982693347
173,109.19956733369389
174,109.46024878312602
175,109.53217955651704
176,109.09572742022715
177,109.43969713358572
178,109.4808004326663
179,109.27366143861546
180,108.91941590048675
181,108.79556517036235
182,108.48999459167118
183,108.92536506219578
184,109.37804218496484
185,109.84369929691725
186,110.30719307733911
187,111.55435370470525
188,111.50730124391563
189,111.69280692266089
190,111.80367766360195
191,111.2644672796106
192,110.21525148729043
193,109.71335857220119
194,109.34342888047593
195,109.66360194699838
196,109.97404002163331
197,109.60086533261222
198,109.18063818280152
199,109.40508382909681
200,109.90859924283396
201,110.24770146024878
202,110.29313142239049
203,110.17306652244457
204,110.18658734451054
205,109.9545700378583
206,109.74580854515955
207,109.09194159004868
208,108.81124932395889
209,108.57977285018929
210,108.79502433747972
211,108.90156841535965
212,109.41427798810167
213,109.7934018388318
214,110.18712817739319
215,110.60627366143862
216,111.71227690643592
217,111.71552190373174
218,111.87831260140617
219,111.73012439156301
220,112.01730665224446
221,111.44456462952948
222,110.2520281233099
223,109.8361276365603
224,109.18929150892374
225,109.63007030827474
226,109.93239588967009
227,109.3677663601947
228,109.08491076257437
229,109.08491076257437
230,109.4959437533802
231,109.5521903731747
232,109.57544618712818
233,109.53758788534343
234,109.51000540832882
235,109.11736073553271
236,108.80043266630611
237,108.81449432125473
238,108.75770686857761
239,109.14169821525148
240,108.69713358572201
241,109.203893996755
242,110.0605732828556
243,109.8788534342888
244,110.68090859924284
245,111.52460789616009
246,111.60519199567334
247,111.69280692266089
248,111.67604110329908
249,111.8085451595457
250,110.73715521903732
251,110.1611681990265
252,109.25094645754461
253,109.3499188750676
254,109.86046511627907
255,109.59113034072472
256,109.12709572742023
257,109.11357490535424
258,109.32179556517036
259,109.53272038939967
260,109.33802055164954
261,109.23580313683073
262,109.31043807463494
263,109.0124391563007
264,108.7755543537047
265,108.59004867495943
266,108.6668469442942
267,108.71552190373174
268,108.50513791238507
269,109.07138994050838
270,109.27798810167658
271,109.82855597620335
272,110.62412114656571
273,111.30124391563007
274,111.55056787452678
275,111.4380746349378
276,111.55759870200109
277,111.00973499188751
278,110.1541373715522
279,109.68361276365603
280,109.1460248783126
281,109.29259058950784
282,109.53650621957814
283,109.21146565711196
284,109.24770146024878
285,109.06706327744728
286,109.51162790697674
287,109.80800432666307
288,109.80475932936723
289,109.56841535965387
290,109.8539751216874
291,109.37101135749053
292,109.04921579232017
293,108.82531097890752
294,108.7355327203894
295,108.67333693888588
296,108.79556517036235
297,108.91995673336939
298,109.38723634396972
299,109.43212547322877
